:START_ID(Authors),:END_ID(Pubs),:TYPE
434,626,Autoria
417,627,Autoria
426,627,Autoria
509,628,Autoria
510,628,Autoria
511,629,Autoria
413,630,Autoria
475,631,Autoria
476,631,Autoria
512,632,Autoria
477,632,Autoria
432,632,Autoria
513,633,Autoria
514,634,Autoria
515,634,Autoria
516,634,Autoria
512,634,Autoria
517,634,Autoria
517,635,Autoria
516,635,Autoria
515,635,Autoria
518,635,Autoria
519,636,Autoria
415,636,Autoria
495,636,Autoria
520,637,Autoria
521,637,Autoria
438,638,Autoria
522,638,Autoria
516,639,Autoria
473,639,Autoria
515,639,Autoria
523,639,Autoria
524,639,Autoria
431,639,Autoria
426,640,Autoria
417,640,Autoria
486,641,Autoria
525,642,Autoria
526,642,Autoria
488,643,Autoria
485,643,Autoria
442,643,Autoria
437,644,Autoria
439,644,Autoria
413,644,Autoria
527,645,Autoria
528,645,Autoria
529,645,Autoria
530,646,Autoria
531,646,Autoria
532,647,Autoria
533,647,Autoria
534,647,Autoria
535,647,Autoria
430,647,Autoria
536,648,Autoria
537,648,Autoria
538,648,Autoria
539,648,Autoria
540,648,Autoria
541,649,Autoria
452,649,Autoria
542,650,Autoria
543,650,Autoria
477,651,Autoria
429,651,Autoria
478,651,Autoria
544,651,Autoria
439,652,Autoria
413,652,Autoria
440,652,Autoria
430,652,Autoria
545,653,Autoria
546,653,Autoria
547,653,Autoria
548,653,Autoria
549,653,Autoria
550,653,Autoria
423,653,Autoria
424,653,Autoria
551,654,Autoria
552,654,Autoria
553,654,Autoria
498,655,Autoria
496,655,Autoria
554,655,Autoria
555,656,Autoria
556,656,Autoria
557,657,Autoria
558,658,Autoria
442,658,Autoria
490,658,Autoria
438,659,Autoria
522,659,Autoria
478,660,Autoria
429,660,Autoria
477,660,Autoria
529,661,Autoria
527,661,Autoria
559,661,Autoria
560,661,Autoria
528,661,Autoria
561,662,Autoria
413,662,Autoria
562,663,Autoria
563,663,Autoria
564,663,Autoria
565,664,Autoria
566,664,Autoria
567,664,Autoria
568,664,Autoria
438,665,Autoria
417,666,Autoria
426,666,Autoria
429,667,Autoria
430,667,Autoria
431,667,Autoria
432,667,Autoria
433,667,Autoria
569,668,Autoria
570,668,Autoria
571,668,Autoria
486,669,Autoria
506,670,Autoria
572,670,Autoria
573,670,Autoria
426,671,Autoria
417,671,Autoria
533,672,Autoria
574,672,Autoria
575,673,Autoria
576,673,Autoria
577,674,Autoria
578,675,Autoria
579,676,Autoria
580,677,Autoria
581,678,Autoria
582,678,Autoria
583,678,Autoria
584,678,Autoria
585,678,Autoria
586,679,Autoria
587,679,Autoria
588,680,Autoria
