pubId:ID(Pubs),Title,Year,Tipo,:LABEL
165,Semantische Reprsentation von Plural-Phnomenen,1992,article,Pub
166,Parenthetische Konstruktionen des Deutschen.,1991,article,Pub
167,Definite Resolution over Constraint Languages,1988,article,Pub
168,Incremental Vocabulary Extensions in Text Understanding Systems,1991,article,Pub
169,Mentale Bilder und Wegbedeutungen,1987,article,Pub
170,The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.,1973,article,Pub
171,The Term Retrieval Abstract Machine,1991,article,Pub
172,Logisches Clustering von PROTOS-L Prozeduren,1988,article,Pub
173,Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?,1987,article,Pub
174,Statistische Untersuchungen an einsprachigen Zeitungstexten,1992,article,Pub
175,Aspekte der Generierung von Wegbeschreibungen,1991,article,Pub
176,Lexical Representation of Idioms,1991,article,Pub
177,Lokale Verben und Prpositionen: Semantische und konzeptuelle Verarbeitung in LEU II,1990,article,Pub
178,"Standards fr das Programmieren in Prolog fr LILOG, Version 2.0",1987,article,Pub
179,Subsumtion fr eine erweiterte attributive Sortenbeschreibungssprache,1989,article,Pub
180,Modularizing Knowledge in LILOG,1991,article,Pub
181,Syntaktische Merkmale deutsche Substantive,1992,article,Pub
182,SQL/Data System for VSE: A Relational Data System for Application Development.,1981,article,Pub
183,Sorted Feature Terms and Relational Dependencies,1991,article,Pub
184,LMT - Machine Translation Demonstration,1991,article,Pub
185,Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen,1991,article,Pub
186,A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras,1990,article,Pub
187,EFTA: An Algebra for Deductive Retrieval of Feature Terms,1988,article,Pub
188,Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken,1992,article,Pub
189,Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT,1992,article,Pub
190,Eine dreiwertige Logik zur Verarbeitung partieller Information,1987,article,Pub
191,Anaphora Resolution for Machine Translation: A Study,1991,article,Pub
